scenario,protocol,n_agents,run,denm_pdr,denm_ddl,bsm_pdr,emerg_p99,latency_p99,mean_cbr
urban,QDAP-noFEC,75,7,0.52705,0.52705,0.59654,2.848,10.730,0.3733
urban,QDAP-noFEC,75,8,0.83881,0.83881,0.63503,2.734,10.494,0.3627
urban,QDAP-noFEC,75,9,0.34718,0.34718,0.61402,2.764,10.709,0.3520
urban,QDAP-noFEC,75,10,0.88308,0.88308,0.62047,2.871,10.770,0.3627
urban,QDAP-noFEC,75,11,0.83750,0.83750,0.58988,2.969,10.821,0.3467
urban,QDAP-noFEC,75,12,0.56667,0.56667,0.58387,2.767,10.627,0.3467
urban,QDAP-noFEC,75,13,0.59167,0.59167,0.58950,2.835,10.589,0.3467
urban,QDAP-noFEC,75,14,0.76816,0.76816,0.61891,2.890,10.936,0.3627
urban,QDAP-noFEC,75,15,0.63731,0.63731,0.60184,3.050,10.641,0.3627
urban,QDAP-noFEC,75,16,0.76667,0.76667,0.64193,2.793,10.637,0.3253
urban,QDAP-noFEC,75,17,0.68384,0.68384,0.63208,3.028,10.809,0.3573
urban,QDAP-noFEC,75,18,0.69104,0.69104,0.56404,2.924,10.562,0.3627
urban,QDAP-noFEC,75,19,0.74844,0.74844,0.60812,2.898,10.712,0.3467
urban,QDAP-noSched,75,0,0.64265,0.64265,0.58152,10.435,9.555,0.3680
urban,QDAP-noSched,75,1,0.69755,0.69755,0.62514,9.625,9.640,0.3680
urban,QDAP-noSched,75,2,0.81244,0.81244,0.64835,10.232,9.546,0.3627
urban,QDAP-noSched,75,3,0.73750,0.73750,0.63470,9.889,9.518,0.3467
urban,QDAP-noSched,75,4,0.83990,0.83990,0.65954,9.518,9.571,0.3573
urban,QDAP-noSched,75,5,0.65521,0.65521,0.61079,9.473,9.554,0.3467
urban,QDAP-noSched,75,6,0.78783,0.78783,0.63222,9.195,9.606,0.3413
urban,QDAP-noSched,75,7,0.59179,0.59179,0.61805,9.003,9.572,0.3733
urban,QDAP-noSched,75,8,0.86816,0.86816,0.65455,9.800,9.518,0.3627
urban,QDAP-noSched,75,9,0.41949,0.41949,0.63583,9.496,9.575,0.3520
urban,QDAP-noSched,75,10,0.92687,0.92687,0.64081,9.964,9.640,0.3627
urban,QDAP-noSched,75,11,0.88802,0.88802,0.61286,9.980,9.610,0.3467
urban,QDAP-noSched,75,12,0.65104,0.65104,0.60695,10.283,9.565,0.3467
urban,QDAP-noSched,75,13,0.67292,0.67292,0.61344,9.758,9.545,0.3467
urban,QDAP-noSched,75,14,0.82687,0.82687,0.64080,9.549,9.597,0.3627
urban,QDAP-noSched,75,15,0.69900,0.69900,0.62515,8.378,9.537,0.3627
urban,QDAP-noSched,75,16,0.83389,0.83389,0.66201,8.335,9.587,0.3253
urban,QDAP-noSched,75,17,0.73990,0.73990,0.65144,9.318,9.613,0.3573
urban,QDAP-noSched,75,18,0.74478,0.74478,0.58640,9.366,9.578,0.3627
urban,QDAP-noSched,75,19,0.79792,0.79792,0.62932,8.827,9.557,0.3467
urban,QDAP-noDelta,75,0,0.64265,0.64265,0.58152,3.013,7.519,0.3680
urban,QDAP-noDelta,75,1,0.69755,0.69755,0.62514,2.859,7.778,0.3680
urban,QDAP-noDelta,75,2,0.81244,0.81244,0.64835,3.082,7.477,0.3627
urban,QDAP-noDelta,75,3,0.73750,0.73750,0.63470,2.893,8.037,0.3467
urban,QDAP-noDelta,75,4,0.83990,0.83990,0.65954,2.739,7.312,0.3573
urban,QDAP-noDelta,75,5,0.65521,0.65521,0.61079,2.719,7.522,0.3467
urban,QDAP-noDelta,75,6,0.78783,0.78783,0.63222,2.705,7.326,0.3413
urban,QDAP-noDelta,75,7,0.59179,0.59179,0.61805,2.731,7.831,0.3733
urban,QDAP-noDelta,75,8,0.86816,0.86816,0.65455,2.860,8.061,0.3627
urban,QDAP-noDelta,75,9,0.41949,0.41949,0.63583,2.796,7.365,0.3520
urban,QDAP-noDelta,75,10,0.92687,0.92687,0.64081,2.788,7.409,0.3627
urban,QDAP-noDelta,75,11,0.88802,0.88802,0.61286,2.858,6.987,0.3467
urban,QDAP-noDelta,75,12,0.65104,0.65104,0.60695,2.825,7.574,0.3467
urban,QDAP-noDelta,75,13,0.67292,0.67292,0.61344,2.820,7.723,0.3467
urban,QDAP-noDelta,75,14,0.82687,0.82687,0.64080,2.860,6.727,0.3627
urban,QDAP-noDelta,75,15,0.69900,0.69900,0.62515,2.676,7.700,0.3627
urban,QDAP-noDelta,75,16,0.83389,0.83389,0.66201,2.631,7.099,0.3253
urban,QDAP-noDelta,75,17,0.73990,0.73990,0.65144,2.810,7.240,0.3573
urban,QDAP-noDelta,75,18,0.74478,0.74478,0.58640,2.936,8.172,0.3627
urban,QDAP-noDelta,75,19,0.79792,0.79792,0.62932,2.558,7.190,0.3467
urban,QDAP-noGhost,75,0,0.63578,0.63529,0.58159,18.871,25.712,0.3680
urban,QDAP-noGhost,75,1,0.70343,0.70196,0.62582,20.257,25.618,0.3680
urban,QDAP-noGhost,75,2,0.82537,0.82189,0.64916,24.954,25.900,0.3627
urban,QDAP-noGhost,75,3,0.74062,0.74010,0.63434,21.045,26.010,0.3467
urban,QDAP-noGhost,75,4,0.82172,0.81919,0.65945,27.997,25.832,0.3573
urban,QDAP-noGhost,75,5,0.67344,0.67083,0.61131,24.012,25.943,0.3467
urban,QDAP-noGhost,75,6,0.80159,0.79841,0.63274,30.457,25.801,0.3413
urban,QDAP-noGhost,75,7,0.59179,0.59082,0.61813,25.096,25.753,0.3733
urban,QDAP-noGhost,75,8,0.88308,0.88159,0.65415,20.378,25.906,0.3627
urban,QDAP-noGhost,75,9,0.44615,0.44615,0.63600,20.989,25.619,0.3520
urban,QDAP-noGhost,75,10,0.91144,0.91095,0.64128,27.513,25.920,0.3627
urban,QDAP-noGhost,75,11,0.88385,0.88177,0.61287,26.195,25.481,0.3467
urban,QDAP-noGhost,75,12,0.63021,0.62865,0.60564,29.658,25.571,0.3467
urban,QDAP-noGhost,75,13,0.66927,0.66875,0.61268,25.067,25.668,0.3467
urban,QDAP-noGhost,75,14,0.81443,0.81244,0.64061,28.432,25.893,0.3627
urban,QDAP-noGhost,75,15,0.71045,0.70846,0.62505,21.174,26.195,0.3627
urban,QDAP-noGhost,75,16,0.83444,0.83278,0.66207,24.423,25.168,0.3253
urban,QDAP-noGhost,75,17,0.74495,0.74343,0.65149,28.967,25.837,0.3573
urban,QDAP-noGhost,75,18,0.73831,0.73632,0.58762,28.008,25.808,0.3627
urban,QDAP-noGhost,75,19,0.80677,0.80573,0.62942,24.113,25.986,0.3467
